年份,国内生产总值 （亿元）(y),固定资产投资 （亿元）(x1),就业人数 （万人）(x2),社会消费品零售总额 (亿元) (x3),GDP价格定基指数（%）（1990年=100）,固定资产投资价格定基指数（%）(1990年=100),社会商品零售价格指数 %（1990年为100）
1990,18774.3,4517,64749,8300.1,100,100,100
1991,21895.5,5594.5,65491,9415.6,109.3,109.5,102.9
1992,27068.3,8080.1,66152,10993.7,124.9,126.3,108.5
1993,35524.3,13072.3,66808,14270.4,142.3,159.8,122.8
1994,48459.6,17042.1,67455,18622.9,160.9,174.5,149.4
1995,61129.8,20019.3,68065,23613.8,178.6,186.9,171.5
1996,71572.3,22913.5,68950,28360.2,196.3,194.3,182
1997,79429.5,24941.1,69820,31252.9,214.4,197.6,183.4
1998,84883.7,28406.2,70637,33378.1,231.1,197.3,178.7
1999,90187.7,29854.7,71394,35647.9,248.7,196.5,173.3
2000,99776.3,32917.7,72085,39105.7,269.6,198.6,170.7
2001,110270.4,37213.5,72797,43055.4,291.9,199.4,169.4
2002,121002,43499.9,73280,48135.9,318.5,198.8,167.2
2003,136564.6,55566.61,73736,52516.3,350.4,204.2,167
2004,160714.4,70477.43,74264,59501,385.7,215.7,171.7
2005,185895.8,88773.61,74647,68352.6,429.3,219.1,173
2006,217656.6,109998.16,74978,79145.2,483.8,222.4,174.8
2007,268019.4,137323.94,75321,93571.6,552.6,231.1,181.4
2008,316751.7,172828.4,75564,114830.1,605.6,251.8,192.1
2009,345629.2,224598.77,75828,132678.4,661.3,245.8,189.8
2010,408903,251683.77,76105,156998.4,731.4,254.6,195.7
2011,484123.5,311485.13,76420,183918.6,800.9,271.4,205.3
2012,534123,374694.74,76704,210307,862.6,274.4,209.4
2013,588018.8,446294.09,76977,242842.8,929,275.2,212.3
2014,636138.7,512020.65,77253,271896.1,996.8,276.6,214.4
